type,name,notes
table,public.jobs,job queue
table,public.job_events,event log for jobs
table,public.artifacts,job artifacts
table,public.worker_devices,worker registry
table,public.worker_heartbeats,worker liveness
table,public.job_queue_summary,aggregated queue stats
table,public.distributed_agents,agent registry
table,public.communication_channels,channels
table,public.distributed_messages,messages
table,public.channel_subscriptions,subscriptions
table,public.distributed_locks,locks
table,public.communication_metrics,comm metrics
table,public.agent_presence,agent presence
table,public.chat_sessions,client chat
table,public.chat_messages,client chat messages
table,public.agent_events,agent events
table,public.conversation_sessions,conversation mgmt
table,public.conversation_messages,conversation messages
table,public.agent_tasks,agent tasks
table,public.task_steps,task steps
table,public.vector_documents,documents vectors
table,public.code_vectors,code vectors
table,public.agent_knowledge_vectors,knowledge vectors
table,public.conversation_embeddings,conv embeddings
table,public.task_embeddings,task embeddings
table,public.hybrid_parsing_results,parser outputs
table,public.ast_nodes,AST nodes
table,public.code_relationships,code rels
table,public.rag_workflow_executions,RAG workflows
table,public.cogo_events,COGO events
table,public.cogo_knowledge_documents,knowledge docs
table,public.cogo_knowledge_nodes,knowledge nodes
table,public.cogo_workflow_history,workflow history
table,public.cogo_agent_activities,agent activities
table,public.cogo_knowledge_quality,quality metrics
table,public.system_metrics,system metrics
table,public.performance_logs,perf logs
table,public.search_logs,search logs
table,public.user_roles,roles
table,public.role_permissions,permissions
table,public.user_sessions,sessions
table,public.agents,realtime agents
table,public.tasks,realtime tasks
table,public.notifications,notifications
table,public.development_progress,dev progress
table,public.workflow_status,workflow status
table,public.system_health,system health
table,public.realtime_sessions,realtime sessions
view,conversation_summary,conversation overview
view,agent_task_summary,agent tasks summary
view,task_progress,task progress
view,integrated_conversation_view,joined conversation view
view,integrated_task_view,joined task view
view,unified_vector_search_view,vector search union
view,unified_search_view,search union
view,chat_session_summary,chat sessions summary
view,agent_events_summary,agent events summary
view,flutter_projects_summary,flutter projects summary
view,job_queue_summary,job queue overview
view,agent_workload,agent workload
view,system_health,health snapshot
view,task_summary,task summary
view,agent_performance,agent perf
view,knowledge_source_health,knowledge sources
function,public.claim_one_job,job claim
function,public.claim_one_job_v2,job claim v2
function,public.fn_job_events_on_jobs,job event trigger
function,public.update_job_queue_summary,queue stats refresh
function,public.record_metric,record metric
function,public.record_performance,record perf
function,public.record_search,record search
function,public.collect_database_stats,collect stats
function,public.unified_vector_search,unified vector search
function,public.hybrid_search,hybrid search
function,public.context_aware_search,context aware search
function,public.search_documents,semantic search
function,public.search_hybrid_documents,hybrid document search
function,public.search_hybrid_agent_knowledge,hybrid kb search
function,public.search_hybrid_code,hybrid code search
function,public.search_similar_documents,similar docs
function,public.search_agent_knowledge,agent kb
function,public.search_similar_code,similar code
function,public.find_related_concepts,related concepts
function,public.generate_embedding,generate embedding
function,public.create_conversation_embedding,conv embedding
function,public.create_task_embedding,task embedding
function,public.batch_create_embeddings,batch embeddings
function,public.match_code_vectors,ANN for code
function,public.get_parsing_results_by_language,parser results
function,public.get_ast_nodes_by_type,AST query
function,public.get_code_relationships_by_type,code rel query
function,public.get_workflow_execution_stats,RAG stats
function,public.update_updated_at_column,update timestamp
function,public.update_code_vectors_timestamps,update code vec ts
function,public.update_embedding_timestamps,update emb ts
function,public.get_or_create_chat_session,chat session
function,public.create_chat_session,create session
function,public.add_chat_message,add message
function,public.add_agent_event,add agent event
function,public.search_chat_messages,search chat
function,public.insert_cogo_client_test_data,seed data
function,public.update_chat_session_activity,session activity
function,public.assign_user_role,assign role
function,public.get_user_permissions,permissions
function,public.check_user_permission,check perm
function,public.assign_default_role_to_new_user,default role
function,public.update_agent_last_seen,agent heartbeat
function,public.cleanup_expired_messages,cleanup msgs
function,public.cleanup_expired_locks,cleanup locks
function,public.get_network_topology,net topology
function,public.record_communication_metrics,comm metrics

